Sample Number,Sample Date,Sample Time,Sample Site,Sample class,Residual Free Chlorine (mg/L),Turbidity (NTU),Fluoride (mg/L),Coliform (Quanti-Tray) (MPN /100mL),E.coli(Quanti-Tray) (MPN/100mL)
201507283,04-01-15,09:50,20050,Compliance,0.34,1.18,,<1,<1
201507284,04-01-15,09:36,20900,Operational,0.35,1.22,,<1,<1
201507285,04-01-15,08:55,21150,Compliance,0.38,1.33,,<1,<1
201507286,04-01-15,12:06,21450,Compliance,0.57,1.24,,<1,<1
201507287,04-01-15,10:41,23550,Compliance,0.41,1.14,,<1,<1
201507288,04-01-15,11:20,24300,Operational,0.51,1.26,,<1,<1
201507289,04-01-15,11:37,27000,Operational,0.59,1.27,,<1,<1
201507290,04-01-15,12:31,29350,Compliance,0.49,1.27,,<1,<1
201507291,04-01-15,12:04,29500,Operational,0.38,1.30,,<1,<1
201507292,04-01-15,09:06,29850,Compliance,0.49,1.21,,<1,<1
201507293,04-01-15,10:54,30050,Compliance,0.41,1.35,,<1,<1
201507294,04-01-15,10:11,30950,Compliance,0.37,1.29,,<1,<1
201507296,04-01-15,11:31,32950,Compliance,0.48,1.30,,<1,<1
201507297,04-01-15,12:58,33700,Operational,0.52,1.27,,<1,<1
201507299,04-01-15,12:21,35200,Operational,0.57,1.24,,<1,<1
201507300,04-01-15,10:08,35350,Compliance,0.38,1.19,,<1,<1
201507301,04-01-15,10:37,38300,Operational,0.46,1.33,,<1,<1
201507305,04-01-15,09:35,40150,Compliance,0.56,1.25,,<1,<1
201507306,04-01-15,09:07,40200,Operational,0.59,1.36,,<1,<1
201507307,04-01-15,10:47,42300,Operational,0.54,1.28,,<1,<1
201507308,04-01-15,08:33,43650,Compliance,0.49,1.21,,<1,<1
201507309,04-01-15,10:12,44350,Compliance,0.57,1.41,,<1,<1
201507310,04-01-15,11:43,44950,Compliance,0.35,1.27,,<1,<1
201507311,04-01-15,10:01,45050,Compliance,0.51,1.21,,<1,<1
201507312,04-01-15,08:43,45650,Compliance,0.55,1.39,,<1,<1
201507313,04-01-15,10:55,51350,Compliance,0.49,1.13,,<1,<1
201507314,04-01-15,11:23,51900,Operational,0.59,1.23,,<1,<1
201507315,04-01-15,10:36,52000,Operational,0.78,1.29,,<1,<1
201507316,04-01-15,09:10,52450,Compliance,0.58,1.11,,<1,<1
201507317,04-01-15,09:38,58150,Compliance,0.50,1.24,,<1,<1
201507318,04-01-15,10:31,76300,Operational,0.40,1.09,,<1,<1
201507319,04-01-15,11:07,76750,Compliance,0.43,1.20,,<1,<1
201507320,04-01-15,09:26,79050,Compliance,0.52,1.31,,<1,<1
201507360,04-01-15,11:46,32150,Compliance,0.52,1.29,,<1,<1
201507361,04-01-15,12:07,34650,Compliance,0.41,1.32,,<1,<1
201509861,05-01-15,12:35,1S04,Operational,0.78,0.84,0.84,<1,<1
201509862,05-01-15,10:39,1S07,Operational,0.72,0.94,0.84,<1,<1
201509863,05-01-15,10:39,1S03A,Operational,0.85,0.84,0.85,<1,<1
201509864,05-01-15,11:17,1S03B,Operational,0.63,0.87,0.85,<1,<1
201509865,05-01-15,08:56,10150,Compliance,0.45,0.96,,<1,<1
201509866,05-01-15,09:31,11750,Compliance,0.41,0.92,,<1,<1
201509867,05-01-15,10:10,12150,Compliance,0.77,0.90,,<1,<1
201509868,05-01-15,08:47,14000,Operational,0.49,0.94,,<1,<1
201509869,05-01-15,09:29,15050,Compliance,0.55,0.83,,<1,<1
201509870,05-01-15,12:04,16250,Compliance,0.52,0.83,,<1,<1
201509871,05-01-15,10:14,18500,Operational,0.81,0.96,,<1,<1
201509873,05-01-15,10:03,20900,Operational,0.38,0.94,,<1,<1
201509874,05-01-15,09:17,21900,Operational,0.57,0.94,,<1,<1
201509875,05-01-15,11:33,23850,Compliance,0.48,0.87,,<1,<1
201509876,05-01-15,08:43,23950,Resample_Compliance,0.35,0.97,,<1,<1
201509877,05-01-15,08:59,23950,Resample_Compliance,0.34,0.89,,<1,<1
201509878,05-01-15,08:27,23950,Resample_Compliance,0.38,0.87,,<1,<1
201509879,05-01-15,09:28,23950,Resample_Compliance,0.34,1.07,,<1,<1
201509880,05-01-15,11:17,25150,Compliance,0.42,0.86,,<1,<1
201509881,05-01-15,09:40,26750,Compliance,0.48,0.89,,<1,<1
201509882,05-01-15,09:26,27000,Operational,0.39,0.95,,<1,<1
201509883,05-01-15,12:20,27550,Compliance,0.48,1.05,,<1,<1
201509884,05-01-15,10:40,27600,Operational,0.39,0.98,,<1,<1
201509885,05-01-15,08:47,27850,Compliance,0.32,1.01,,<1,<1
201509886,05-01-15,11:02,29050,Compliance,0.45,0.83,,<1,<1
201509887,05-01-15,10:14,29450,Compliance,0.47,0.83,,<1,<1
201509888,05-01-15,09:39,30250,Compliance,0.28,0.88,,<1,<1
201509889,05-01-15,09:01,32650,Compliance,0.33,0.90,,<1,<1
201509891,05-01-15,10:23,34850,Compliance,0.60,0.82,,<1,<1
201509892,05-01-15,12:37,35150,Compliance,0.41,0.96,,<1,<1
201509893,05-01-15,11:04,36350,Compliance,0.35,0.87,,<1,<1
201509894,05-01-15,11:59,37300,Operational,0.38,0.93,,<1,<1
201509896,05-01-15,08:17,40200,Operational,0.63,0.94,,<1,<1
201509897,05-01-15,08:23,40650,Compliance,0.56,0.95,,<1,<1
201509898,05-01-15,12:19,41300,Operational,0.47,1.02,,<1,<1
201509899,05-01-15,11:51,41450,Compliance,0.44,1.03,,<1,<1
201509900,05-01-15,11:25,42750,Compliance,0.39,0.95,,<1,<1
201509901,05-01-15,08:49,44250,Compliance,0.41,1.09,,<1,<1
201509902,05-01-15,09:33,46950,Compliance,0.51,1.08,,<1,<1
201509903,05-01-15,10:09,48600,Operational,0.53,0.95,,<1,<1
201509904,05-01-15,10:12,50200,Operational,0.54,0.91,,<1,<1
201509905,05-01-15,10:59,50300,Operational,0.49,0.93,,<1,<1
201509906,05-01-15,10:33,51850,Compliance,0.37,0.88,,<1,<1
201509907,05-01-15,08:31,55450,Compliance,0.32,0.76,,<1,<1
201509908,05-01-15,08:59,57200,Operational,0.39,0.86,,<1,<1
201509909,05-01-15,09:40,58950,Compliance,0.57,0.93,,<1,<1
201509910,05-01-15,10:58,78350,Compliance,0.40,1.15,,<1,<1
201509911,05-01-15,10:32,79150,Compliance,0.20,0.91,,<1,<1
201512645,06-01-15,11:22,1S04,Operational,0.56,0.87,0.74,<1,<1
201512646,06-01-15,09:36,1S07,Operational,0.66,0.90,0.73,<1,<1
201512647,06-01-15,09:48,1S03A,Operational,0.75,0.95,0.72,<1,<1
201512648,06-01-15,10:21,1S03B,Operational,0.74,0.87,0.74,<1,<1
201512649,06-01-15,10:45,1SCL1,Operational,0.79,0.32,0.68,<1,<1
201512650,06-01-15,10:55,1SCH4,Operational,0.49,1.01,0.74,<1,<1
201512651,06-01-15,09:59,11900,Operational,0.48,0.92,,<1,<1
201512652,06-01-15,11:52,13150,Compliance,0.59,0.76,,<1,<1
201512653,06-01-15,11:25,15300,Operational,0.63,0.47,,<1,<1
201512654,06-01-15,09:22,16450,Compliance,0.82,0.91,,<1,<1
201512655,06-01-15,08:47,16650,Compliance,0.68,0.97,,<1,<1
201512656,06-01-15,11:01,18750,Compliance,0.62,0.90,,<1,<1
201512657,06-01-15,08:51,20900,Operational,0.49,0.90,,<1,<1
201512658,06-01-15,09:49,22550,Compliance,0.40,0.93,,<1,<1
201512659,06-01-15,12:13,24850,Compliance,0.43,0.94,,<1,<1
201512660,06-01-15,13:09,25100,Operational,0.45,1.10,,<1,<1
201512661,06-01-15,08:51,25350,Compliance,0.44,0.81,,<1,<1
201512662,06-01-15,12:31,25550,Compliance,0.43,0.95,,<1,<1
201512663,06-01-15,11:54,26550,Compliance,0.34,1.03,,<1,<1
201512664,06-01-15,11:12,27000,Operational,0.59,0.83,,<1,<1
201512665,06-01-15,10:50,28950,Compliance,0.38,0.80,,<1,<1
201512666,06-01-15,11:54,30750,Compliance,0.27,0.57,,<1,<1
201512667,06-01-15,09:29,31350,Compliance,0.24,1.00,,<1,<1
201512668,06-01-15,11:23,32050,Compliance,0.23,1.04,,<1,<1
201512669,06-01-15,08:34,32200,Operational,0.37,0.91,,<1,<1
201512670,06-01-15,10:07,34350,Compliance,0.25,1.04,,<1,<1
201512671,06-01-15,10:55,35450,Compliance,0.21,0.43,,<1,<1
201512672,06-01-15,09:13,3SC26,Operational,0.71,0.29,,<1,<1
201512673,06-01-15,09:53,40200,Operational,0.75,1.02,,<1,<1
201512674,06-01-15,07:57,41600,Operational,0.59,0.99,,<1,<1
201512675,06-01-15,08:12,41950,Compliance,0.39,0.82,,<1,<1
201512676,06-01-15,09:15,43550,Compliance,0.24,1.02,,<1,<1
201512677,06-01-15,10:19,44150,Compliance,0.66,0.86,,<1,<1
201512678,06-01-15,11:46,45850,Compliance,0.38,0.78,,<1,<1
201512679,06-01-15,08:38,46450,Compliance,0.54,1.01,,<1,<1
201512680,06-01-15,08:25,49200,Operational,0.57,0.98,,<1,<1
201512681,06-01-15,11:35,50050,Compliance,0.12,0.80,,<1,<1
201512682,06-01-15,11:04,50200,Operational,0.66,0.86,,<1,<1
201512683,06-01-15,10:33,50300,Operational,0.50,1.03,,<1,<1
201512684,06-01-15,09:27,52350,Compliance,0.20,0.77,,<1,<1
201512685,06-01-15,08:48,56300,Operational,0.70,0.89,,<1,<1
201512686,06-01-15,10:02,58850,Compliance,0.56,0.87,,<1,<1
201512687,06-01-15,09:12,77550,Compliance,0.29,0.88,,<1,<1
201512688,06-01-15,09:38,77850,Compliance,0.29,0.82,,<1,<1
201512689,06-01-15,10:12,78650,Compliance,0.10,0.96,,<1,<1
201515659,07-01-15,09:35,1S07,Operational,0.64,0.91,0.71,<1,<1
201515660,07-01-15,11:31,1S03A,Operational,0.88,0.86,0.7,<1,<1
201515661,07-01-15,12:06,1S03B,Operational,0.75,0.98,0.71,<1,<1
201515662,07-01-15,10:58,1SCL1,Operational,1.00,0.33,0.69,<1,<1
201515663,07-01-15,11:09,1SCH4,Operational,0.52,0.86,0.72,<1,<1
201515664,07-01-15,09:55,10250,Compliance,0.54,0.76,,<1,<1
201515665,07-01-15,10:26,10550,Compliance,0.68,0.35,,<1,<1
201515666,07-01-15,10:23,13550,Compliance,0.53,0.95,,<1,<1
201515667,07-01-15,09:56,13600,Operational,0.75,0.87,,<1,<1
201515668,07-01-15,11:04,17050,Compliance,0.21,0.68,,<1,<1
201515669,07-01-15,09:24,18450,Compliance,0.62,0.87,,<1,<1
201515670,07-01-15,10:24,20900,Operational,0.68,0.74,,<1,<1
201515671,07-01-15,11:27,21050,Compliance,0.64,0.86,,<1,<1
201515672,07-01-15,11:57,21350,Compliance,0.42,0.72,,<1,<1
201515673,07-01-15,09:23,21950,Compliance,0.46,0.82,,<1,<1
201515674,07-01-15,08:43,22300,Operational,0.54,0.72,,<1,<1
201515675,07-01-15,10:19,24650,Compliance,0.20,0.96,,<1,<1
201515676,07-01-15,11:37,24700,Operational,0.54,0.73,,<1,<1
201515677,07-01-15,09:51,24950,Compliance,0.47,0.85,,<1,<1
201515678,07-01-15,10:59,25950,Compliance,0.49,0.77,,<1,<1
201515679,07-01-15,09:23,26950,Compliance,0.33,0.70,,<1,<1
201515680,07-01-15,09:45,27000,Operational,0.68,0.75,,<1,<1
201515681,07-01-15,09:08,30350,Compliance,0.32,0.81,,<1,<1
201515682,07-01-15,09:12,34050,Compliance,0.57,0.84,,<1,<1
201515683,07-01-15,12:28,34150,Compliance,0.55,0.93,,<1,<1
201515684,07-01-15,10:53,35000,Operational,0.49,0.76,,<1,<1
201515685,07-01-15,12:03,35050,Compliance,0.95,0.31,,<1,<1
201515686,07-01-15,09:55,36000,Operational,0.57,0.70,,<1,<1
201515687,07-01-15,11:21,38650,Compliance,0.49,0.70,,<1,<1
201515688,07-01-15,10:22,39400,Operational,0.61,0.28,,<1,<1
201515689,07-01-15,08:47,3SC26,Operational,1.07,0.18,,<1,<1
201515690,07-01-15,08:36,40200,Operational,0.76,0.84,,<1,<1
201515691,07-01-15,08:58,40300,Operational,0.70,0.88,,<1,<1
201515692,07-01-15,08:29,40850,Compliance,0.57,0.75,,<1,<1
201515693,07-01-15,07:59,40950,Compliance,0.64,0.80,,<1,<1
201515694,07-01-15,08:22,42350,Compliance,0.56,0.97,,<1,<1
201515695,07-01-15,10:38,42950,Compliance,0.44,0.88,,<1,<1
201515696,07-01-15,11:42,43950,Compliance,0.22,0.69,,<1,<1
201515697,07-01-15,11:54,50200,Operational,0.69,0.81,,<1,<1
201515698,07-01-15,12:17,50300,Operational,0.72,0.87,,<1,<1
201515699,07-01-15,09:37,50650,Resample_Compliance,0.38,0.82,,<1,<1
201515700,07-01-15,09:55,50650,Resample_Compliance,0.45,0.80,,<1,<1
201515701,07-01-15,10:10,50650,Resample_Compliance,0.46,0.73,,<1,<1
201515702,07-01-15,10:28,50650,Resample_Compliance,0.56,0.77,,<1,<1
201515703,07-01-15,09:20,51050,Compliance,0.07,0.64,,<1,<1
201515704,07-01-15,10:06,58350,Compliance,0.48,0.71,,<1,<1
201515705,07-01-15,10:40,58400,Operational,0.13,0.61,,<1,<1
201515706,07-01-15,11:24,59350,Compliance,0.65,0.76,,<1,<1
201515707,07-01-15,09:52,77050,Compliance,0.20,0.74,,<1,<1
201515708,07-01-15,09:26,77650,Compliance,0.31,0.87,,<1,<1
201518621,08-01-15,13:05,1S07,Operational,0.69,0.71,0.68,<1,<1
201518622,08-01-15,11:09,1S03A,Operational,0.92,0.63,0.68,<1,<1
201518623,08-01-15,10:37,1S03B,Operational,0.82,0.65,0.68,<1,<1
201518624,08-01-15,10:04,1SCL1,Operational,0.85,0.69,0.66,<1,<1
201518625,08-01-15,10:01,1SCH4,Operational,0.73,0.65,0.68,<1,<1
201518626,08-01-15,09:05,11550,Compliance,0.76,0.65,,<1,<1
201518627,08-01-15,08:00,13850,Compliance,0.60,0.51,,<1,<1
201518628,08-01-15,08:29,15550,Compliance,0.75,0.57,,<1,<1
201518629,08-01-15,07:28,17550,Compliance,0.77,0.29,,<1,<1
201518630,08-01-15,11:53,20900,Operational,0.63,0.60,,<1,<1
201518631,08-01-15,11:17,21850,Compliance,0.49,0.79,,<1,<1
201518632,08-01-15,12:49,22050,Compliance,0.57,0.66,,<1,<1
201518633,08-01-15,07:52,23350,Compliance,0.25,0.54,,<1,<1
201518634,08-01-15,09:31,23650,Compliance,0.59,0.59,,<1,<1
201518635,08-01-15,09:45,24150,Compliance,0.55,0.78,,<1,<1
201518636,08-01-15,10:19,25250,Compliance,0.48,0.55,,<1,<1
201518637,08-01-15,12:20,27000,Operational,0.73,0.79,,<1,<1
201518638,08-01-15,08:38,29550,Compliance,0.16,0.53,,<1,<1
201518639,08-01-15,11:27,30950,Compliance,0.53,0.68,,<1,<1
201518640,08-01-15,10:54,32550,Compliance,0.67,0.52,,<1,<1
201518641,08-01-15,08:57,34550,Compliance,0.79,0.42,,<1,<1
201518642,08-01-15,09:35,35750,Compliance,0.48,0.58,,<1,<1
201518643,08-01-15,10:17,39750,Compliance,0.45,0.56,,<1,<1
201518644,08-01-15,12:27,3SC26,Operational,0.84,0.36,,<1,<1
201518645,08-01-15,08:05,40200,Operational,0.99,0.69,,<1,<1
201518646,08-01-15,12:44,40750,Compliance,0.76,0.74,,<1,<1
201518647,08-01-15,07:26,41150,Compliance,0.59,0.55,,<1,<1
201518648,08-01-15,07:27,41350,Compliance,0.54,0.67,,<1,<1
201518649,08-01-15,07:58,41450,Resample_Compliance,0.46,0.59,,<1,<1
201518650,08-01-15,08:14,41450,Resample_Compliance,0.51,0.53,,<1,<1
201518651,08-01-15,08:32,41450,Resample_Compliance,0.53,0.51,,<1,<1
201518652,08-01-15,09:03,41450,Resample_Compliance,0.46,0.53,,<1,<1
201518653,08-01-15,11:38,41850,Compliance,0.69,0.53,,<1,<1
201518654,08-01-15,12:10,44750,Compliance,0.67,0.58,,<1,<1
201518655,08-01-15,08:07,46950,Resample_Compliance,0.54,0.54,,<1,<1
201518656,08-01-15,08:23,46950,Resample_Compliance,0.61,0.60,,<1,<1
201518657,08-01-15,08:41,46950,Resample_Compliance,0.65,0.62,,<1,<1
201518658,08-01-15,09:13,46950,Resample_Compliance,0.52,0.69,,<1,<1
201518659,08-01-15,12:36,50300,Operational,0.90,0.64,,<1,<1
201518660,08-01-15,12:09,50650,Compliance,0.47,0.68,,<1,<1
201518661,08-01-15,11:28,51150,Compliance,0.76,0.87,,<1,<1
201518662,08-01-15,10:52,58650,Compliance,0.36,0.56,,<1,<1
201518663,08-01-15,11:00,76650,Compliance,0.44,0.59,,<1,<1
201518664,08-01-15,10:27,78050,Compliance,0.22,0.62,,<1,<1
201518665,08-01-15,09:46,78850,Compliance,0.27,0.46,,<1,<1
201521586,09-01-15,09:57,1S07,Operational,0.84,0.74,0.71,<1,<1
201521587,09-01-15,11:47,1S03A,Operational,1.06,0.70,0.72,<1,<1
201521588,09-01-15,12:34,1S03B,Operational,0.81,0.66,0.72,<1,<1
201521589,09-01-15,09:57,1SCL1,Operational,1.03,0.21,0.69,<1,<1
201521590,09-01-15,09:37,1SCH4,Operational,0.82,0.80,0.73,<1,<1
201521591,09-01-15,10:42,14200,Operational,0.84,0.69,,<1,<1
201521592,09-01-15,08:54,14650,Compliance,0.72,0.63,,<1,<1
201521593,09-01-15,09:19,15150,Compliance,0.73,0.63,,<1,<1
201521594,09-01-15,11:15,17250,Compliance,0.76,0.69,,<1,<1
201521595,09-01-15,08:19,18300,Operational,0.53,0.59,,<1,<1
201521596,09-01-15,09:50,18650,Compliance,0.72,0.48,,<1,<1
201521601,09-01-15,10:29,20850,Compliance,0.91,0.71,,<1,<1
201521602,09-01-15,10:59,20900,Operational,0.60,0.58,,<1,<1
201521603,09-01-15,10:11,22600,Operational,0.62,0.63,,<1,<1
201521604,09-01-15,12:00,22850,Compliance,0.60,0.68,,<1,<1
201521605,09-01-15,11:19,22900,Operational,0.60,0.69,,<1,<1
201521606,09-01-15,08:57,23450,Compliance,0.54,0.63,,<1,<1
201521607,09-01-15,12:32,23950,Compliance,0.56,0.70,,<1,<1
201521608,09-01-15,10:35,24250,Compliance,0.63,0.75,,<1,<1
201521609,09-01-15,11:14,24350,Compliance,0.63,0.79,,<1,<1
201521610,09-01-15,11:44,25400,Operational,0.79,0.73,,<1,<1
201521611,09-01-15,10:05,27000,Operational,0.97,0.72,,<1,<1
201521612,09-01-15,11:12,31750,Compliance,0.50,0.36,,<1,<1
201521613,09-01-15,11:50,31850,Compliance,0.45,0.66,,<1,<1
201521614,09-01-15,11:30,33450,Compliance,0.93,0.24,,<1,<1
201521615,09-01-15,09:24,33950,Compliance,0.85,0.20,,<1,<1
201521616,09-01-15,10:27,34200,Operational,0.68,0.72,,<1,<1
201521617,09-01-15,09:50,38250,Compliance,0.60,0.67,,<1,<1
201521618,09-01-15,12:27,39650,Compliance,0.56,0.72,,<1,<1
201521619,09-01-15,10:46,3SC26,Operational,0.99,0.11,,<1,<1
201521620,09-01-15,09:01,40200,Operational,0.98,0.81,,<1,<1
201521621,09-01-15,09:24,41650,Resample_Compliance,0.04,0.91,,2,<1
201521622,09-01-15,09:45,41650,Resample_Compliance,0.02,1.99,,1,<1
